rut,empleado,cargo,total_vendido,total_horas_extras,total_fallas
176888439,Isabel Flores,Vendedor/Operario,1165000,0,0
192834283,Gloria Díaz,Vendedor/Operario,1084500,0,0
188497204,Felipe Barriga,Vendedor/Operario,1074000,0,0
157099356,Elena Cárdenas,Vendedor/Operario,1031500,0,0
182987618,Catalina Cárdenas,Vendedor/Operario,1009000,0,0
158926658,Andy Barriga,Vendedor/Operario,987000,0.0,0
156102831,Rodrigo Andrade,Vendedor/Operario,961500,1.0,0
179753244,Rodrigo Galdames,Vendedor/Operario,956500,0.0,0
152639075,Hugo Briones,Vendedor/Operario,947500,0.0,1
192948302,Isabel Barría,Vendedor/Operario,946500,0,0
151619206,Catalina Andrade,Vendedor/Operario,946000,0.0,1
176427250,Isabel Galdames,Vendedor/Operario,942500,0,0
189127462,Isabel Espinoza,Vendedor/Operario,935000,0,0
197746056,Catalina Ibáñez,Vendedor/Operario,909000,0.0,1
194651270,Rodrigo Jara,Vendedor/Operario,906500,0.0,0
158011678,Gloria Galdames,Vendedor/Operario,882000,0.0,0
176012536,Quidel Briones,Vendedor/Operario,878000,0,0
166737254,Isabel Andrade,Vendedor/Operario,865000,0.0,0
157459000,Quidel Cárdenas,Vendedor/Operario,862500,0.0,0
187526026,Catalina Galdames,Vendedor/Operario,843500,1.0,0
165603649,Hugo Flores,Vendedor/Operario,840000,1.0,1
173342578,Quidel Andrade,Vendedor/Operario,838500,1.0,0
172247890,Isabel Díaz,Vendedor/Operario,833000,0.0,1
192839323,Bastián Barriga,Vendedor/Operario,827500,0,0
171989885,Hugo Jara,Vendedor/Operario,824000,0.0,0
181034472,Hugo Flores,Vendedor/Operario,794000,1.0,0
162237759,Gloria Espinoza,Vendedor/Operario,785500,0.0,1
197253359,Rodrigo Jara,Vendedor/Operario,779500,0.0,1
186185060,Diego Briones,Vendedor/Operario,771500,0.0,0
198689879,Andy Díaz,Vendedor/Operario,761000,0.0,0
177556397,Diego Cárdenas,Vendedor/Operario,759000,1.0,0
171159212,Felipe Espinoza,Vendedor/Operario,737500,0.0,0
196175881,Quidel Díaz,Vendedor/Operario,667000,0.0,0
165528019,Rodrigo Espinoza,Vendedor/Operario,659500,0.0,1
